DAC,0,4000
DCT W Center 6,1464,1760
DCT N Center 21,582,2790
DCT S Center 4,592,2959
DCT E Center 18,656,2959
DCT Gas N24,592,3071
DCT Gas S11,576,2863
DCT Heater PCB,592,2943
HV Drift,576,2943
HV Gaiin,592,3343
HV Enable,640,3167
DCT Vac,608,3310
B Field State,576,3135
Bottom Stack,592,3039
DCT Vessel P,576,2943
CO2 Mass Flow,608,3007
RICH Temp N,592,3087
RICH Temp S,576,2703
ABS Air,592,2847
